filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
glg_tte_n9_bn180423266_v00.fit,80.50781249999999,-27.279612735978088,13620.97991746756,1.0,True,positive
glg_tte_n9_bn180426005_v00.fit,249.37499999999997,81.21982231598935,-12478.755619050475,1.0,True,negative
glg_tte_n9_bn180426549_v00.fit,201.98863636363637,57.39952353962295,3320.5083454922474,1.0,True,positive
glg_tte_n9_bn180427442_v00.fit,281.24999999999994,70.90666664467562,36481.69570355711,1.0,True,positive
glg_tte_n9_bn180428102_v00.fit,92.34374999999999,54.34091230386124,-4780.4118296195265,1.0,True,negative
glg_tte_n9_bn180504136_v00.fit,218.3203125,38.68218745348943,-196640.36654204558,1.0,True,negative
glg_tte_n9_bn180505540_v00.fit,2.8125,-60.43443884495229,39740.07280545166,1.0,True,positive
glg_tte_n9_bn180506077_v00.fit,248.90625000000003,5.079715792733466,-16641.17544018147,1.0,True,negative
glg_tte_n9_bn180506902_v00.fit,61.52343749999998,-1.1937484371410847,2018.291031106704,1.0,True,positive
glg_tte_n9_bn180511364_v00.fit,247.8515625,-13.248014905676952,51759.552890980514,1.0,True,positive
glg_tte_n9_bn180511437_v00.fit,254.53125,9.29155323877026,-53800.144535246785,1.0,True,negative
glg_tte_n9_bn180511606_v00.fit,262.96875,-0.2984168674869415,-2811.1890151753933,1.0,True,negative
glg_tte_n9_bn180513815_v00.fit,226.75781249999997,38.68218745348943,34059.167325191826,1.0,True,positive
glg_tte_n9_bn180515814_v00.fit,139.6875,72.38756092964962,-31280.99824055243,1.0,True,negative
glg_tte_n9_bn180516229_v00.fit,268.9453125,-30.000000000000018,20302.285644427666,1.0,True,positive
glg_tte_n9_bn180517309_v00.fit,284.0625,31.738394244764443,-95370.1152192393,1.0,True,negative
glg_tte_n9_bn180521935_v00.fit,98.75,49.702390326630685,-23938.631656327187,1.0,True,negative
glg_tte_n9_bn180522607_v00.fit,298.47656249999994,-15.71386104800821,-5548.372618361516,1.0,True,negative
glg_tte_n9_bn180522678_v00.fit,349.47580645161287,43.406858485936986,67509.67367524785,1.0,True,positive
glg_tte_n9_bn180523782_v00.fit,155.03906249999997,37.16889965599944,-9329.771411090747,1.0,True,negative
glg_tte_n9_bn180524416_v00.fit,139.57031249999997,-38.68218745348945,-14339.171496636147,1.0,True,negative
glg_tte_n9_bn180524920_v00.fit,83.32031249999999,29.999999999999993,16660.23823401427,1.0,True,positive
glg_tte_n9_bn180525151_v00.fit,105.46875,19.15501007356373,31037.87107349968,1.0,True,positive
glg_tte_n9_bn180528371_v00.fit,289.19117647058823,-64.94808409550689,-29220.7268543773,1.0,True,negative
glg_tte_n9_bn180528465_v00.fit,206.36718749999997,29.999999999999993,44079.25104929601,1.0,True,positive
glg_tte_n9_bn180602938_v00.fit,83.125,-63.44828368030105,18690.096926138587,1.0,True,positive
glg_tte_n9_bn180605458_v00.fit,51.25,-49.7023903266307,4449.603407941632,1.0,True,positive
glg_tte_n9_bn180606730_v00.fit,259.80468749999994,-30.000000000000018,-2839.5619421000606,1.0,True,negative
glg_tte_n9_bn180610377_v00.fit,202.8515625,-37.168899655999454,-21859.633698887606,1.0,True,negative
glg_tte_n9_bn180610568_v00.fit,288.63281249999994,7.180755781458272,29159.885622259877,1.0,True,positive
glg_tte_n9_bn180610791_v00.fit,308.32031249999994,32.79716829582364,-19671.051424722664,1.0,True,negative
glg_tte_n9_bn180611145_v00.fit,52.9646017699115,-47.749650829136584,11540.864112775418,1.0,True,positive
glg_tte_n9_bn180612785_v00.fit,15.468749999999998,14.169522214770062,8600.624048426282,1.0,True,positive
glg_tte_n9_bn180614327_v00.fit,53.37209302325581,-74.2345483270482,-17500.63612377095,1.0,True,negative
