obs_id,filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
bat,sw00548038000bevshsp_uf.evt.gz,299.7553,35.12431,-31743.061830725743,6.4,True,negative
bat,sw00551030000bevshsp_uf.evt.gz,41.38433012623,-30.2553313620773,75078.07808371053,6.4,True,positive
bat,sw00551126000bevshsp_uf.evt.gz,157.5469583,-51.7944722,245.83323086897238,6.4,True,positive
bat,sw00552374000bevshsp_uf.evt.gz,245.074501135966,-15.4571678668251,-79815.44748529147,6.4,True,negative
bat,sw00552375000bevshsp_uf.evt.gz,289.0321,11.10587,-14.933265300462494,6.4,True,negative
bat,sw00552380000bevshsp_uf.evt.gz,83.5884838122774,21.4637415244399,108094.89506451771,6.4,True,positive
bat,sw00552677000bevshsp_uf.evt.gz,250.423654349211,-45.5609368436553,-11646.971306533338,6.4,True,negative
bat,sw00553918000bevshsp_uf.evt.gz,355.270512385986,9.97717701299357,10049.138213475873,6.4,True,positive
bat,sw00554135000bevshsp_uf.evt.gz,235.705864882032,58.4976429849443,-15.392116272757749,6.4,True,negative
bat,sw00554620000bevshsp_uf.evt.gz,173.1362,27.71294,11271.992651696495,6.4,True,positive
bat,sw00554996000bevshsp_uf.evt.gz,138.568875,-0.1231944,124.22408642203746,6.4,True,positive
bat,sw00555096000bevshsp_uf.evt.gz,272.364553349823,-16.3442262783641,19.84278744466592,6.4,True,positive
bat,sw00555413000bevshsp_uf.evt.gz,305.3216667,34.9582778,5561.089249010247,6.4,True,positive
bat,sw00556533000bevshsp_uf.evt.gz,118.580165214582,-28.1344888419534,-60546.598134340566,6.4,True,negative
bat,sw00556587000bevshsp_uf.evt.gz,244.986302710241,-15.6336175889865,89221.67949029934,6.4,True,positive
bat,sw00556870000bevshsp_uf.evt.gz,139.5021667,87.301,99.30169217966059,6.4,True,positive
bat,sw00556930000bevshsp_uf.evt.gz,24.282,-64.1473889,-592.462583453755,6.4,True,negative
bat,sw00557640000bevshsp_uf.evt.gz,266.432655517858,-28.992556134202,-5885.756774221521,6.4,True,negative
bat,sw00557674000bevshsp_uf.evt.gz,256.063661464133,-37.4569768216321,33591.272388909914,6.4,True,positive
bat,sw00557771000bevshsp_uf.evt.gz,24.6085833,41.5025833,-28733.16703709576,6.4,True,negative
bat,sw00557782000bevshsp_uf.evt.gz,152.6715,24.1335,-14.940944450655913,6.4,True,negative
bat,sw00558271000bevshsp_uf.evt.gz,274.8291667,-68.1610833,-4283.5647627518765,6.4,True,negative
bat,sw00558631000bevshsp_uf.evt.gz,271.804678125872,-22.2908994395319,-891.839659599287,6.4,True,negative
bat,sw00558753000bevshsp_uf.evt.gz,245.231373544066,-15.3958555039321,37764.02347950315,6.4,True,positive
bat,sw00559108000bevshsp_uf.evt.gz,171.522625095081,-60.6986578674133,-54088.96692569135,6.4,True,negative
bat,sw00559132000bevshsp_uf.evt.gz,184.4167917,-37.0863889,-31426.20549955951,6.4,True,negative
bat,sw00559139000bevshsp_uf.evt.gz,181.932229853194,-55.7299343575035,-14.748609708336952,6.4,True,negative
bat,sw00559221000bevshsp_uf.evt.gz,268.6057,-26.3312,-19709.02232533957,6.4,True,negative
bat,sw00559642000bevshsp_uf.evt.gz,130.1979,-45.05911,40066.89832555273,6.4,True,positive
bat,sw00562625000bevshsp_uf.evt.gz,89.0393291132065,-11.5845014417971,226945.791928017,6.4,True,positive
bat,sw00563213000bevshsp_uf.evt.gz,260.653,-2.97288,636.204406029521,6.4,True,positive
bat,sw00563980000bevshsp_uf.evt.gz,230.0331667,0.6273889,1020.753651047132,6.4,True,positive
bat,sw00565263000bevshsp_uf.evt.gz,220.2537917,-2.4926944,21.678632824723284,6.4,True,positive
bat,sw00569992000bevshsp_uf.evt.gz,215.8917917,45.6075,12.927906440825739,6.4,True,positive
bat,sw00571067000bevshsp_uf.evt.gz,250.431916298687,-45.5685152025817,214934.02837080034,6.4,True,positive
bat,sw00573667000bevshsp_uf.evt.gz,297.3988,30.21062,-39290.484698218635,6.4,True,negative
bat,sw00574266000bevshsp_uf.evt.gz,42.2859901141018,7.4399243641511,12.962475621945927,6.4,True,positive
bat,sw00576238000bevshsp_uf.evt.gz,345.0671667,-5.368,125.40433412219349,6.4,True,positive
bat,sw00578175000bevshsp_uf.evt.gz,135.6178,-40.50223,11844.500217244502,6.4,True,positive
bat,sw00579571000bevshsp_uf.evt.gz,332.7292917,36.6096944,-13.431596828936803,6.4,True,negative
bat,sw00579975000bevshsp_uf.evt.gz,135.5256,-40.55264,-178694.32612838718,6.4,True,negative
bat,sw00580267000bevshsp_uf.evt.gz,131.608992800002,-60.1740032566644,-121.97012172017065,6.4,True,negative
bat,sw00581129000bevshsp_uf.evt.gz,178.341830838294,47.9423038496901,8190.601910643508,6.4,True,positive
bat,sw00585834000bevshsp_uf.evt.gz,145.3342917,66.7606944,52.55087451864855,6.4,True,positive
bat,sw00586071000bevshsp_uf.evt.gz,81.3347420112946,32.477013277617,40.52150001250927,6.4,True,positive
bat,sw00586480000bevshsp_uf.evt.gz,266.1353,-28.73995,-16442.568608233953,6.4,True,negative
bat,sw00586482000bevshsp_uf.evt.gz,266.1383,-28.74074,-42824.132370176565,6.4,True,negative
bat,sw00586863000bevshsp_uf.evt.gz,266.1382,-28.74114,-80504.23246627596,6.4,True,negative
bat,sw00586998000bevshsp_uf.evt.gz,266.1398,-28.74053,-58303.67868103896,6.4,True,negative
bat,sw00589512000bevshsp_uf.evt.gz,266.1371,-28.74009,16.65643936467677,6.4,True,positive
bat,sw00590310000bevshsp_uf.evt.gz,266.1384,-28.74219,-239868.852718321,6.4,True,negative
bat,sw00591237000bevshsp_uf.evt.gz,283.2694,-8.708129,-57788.49462637089,6.4,True,negative
bat,sw00592544000bevshsp_uf.evt.gz,281.856830560698,-11.172835071369,138110.28921870975,6.4,True,positive
bat,sw00594081000bevshsp_uf.evt.gz,134.8642917,2.7173889,-7229.803714053695,6.4,True,negative
bat,sw00595141000bevshsp_uf.evt.gz,290.7161667,-12.5954722,-169858.69816175353,6.4,True,negative
bat,sw00595345000bevshsp_uf.evt.gz,187.132260568424,3.47989197156627,21782.302570763615,6.4,True,positive
bat,sw00596641000bevshsp_uf.evt.gz,336.363285424354,3.63626678930699,11765.32968016111,6.4,True,positive
bat,sw00599041000bevshsp_uf.evt.gz,252.039389922467,-45.200136287036,14.020388338948807,6.4,True,positive
bat,sw00600914000bevshsp_uf.evt.gz,29.3933238102915,44.9767806908176,-80586.57146193995,6.4,True,negative
bat,sw00601646000bevshsp_uf.evt.gz,231.1722917,-79.129,27778.410663855117,6.4,True,positive
bat,sw00602668000bevshsp_uf.evt.gz,183.900321502936,6.46779079524877,46146.36540671586,6.4,True,positive
bat,sw00604675000bevshsp_uf.evt.gz,51.64748,28.71443,-1606.1213885400252,6.4,True,negative
bat,sw00609736000bevshsp_uf.evt.gz,127.2645833,58.1900833,24.372430133614987,6.4,True,positive
bat,sw00609878000bevshsp_uf.evt.gz,258.1547,-37.64442,15.698125769985305,6.4,True,positive
bat,sw00610501000bevshsp_uf.evt.gz,206.6167917,33.2935,-17.759373403230647,6.4,True,negative
bat,sw00612974000bevshsp_uf.evt.gz,256.6459,23.9711,-6534.9478860766385,6.4,True,negative
bat,sw00614903000bevshsp_uf.evt.gz,268.6055,-26.32821,-17794.351984901692,6.4,True,negative
bat,sw00615672000bevshsp_uf.evt.gz,93.6284,-58.58361,44.03985202825195,6.4,True,positive
bat,sw00616061000bevshsp_uf.evt.gz,241.8696667,-72.1252778,-14.552158655492654,6.4,True,negative
bat,sw00616502000bevshsp_uf.evt.gz,44.08397,26.9263,-6713.23147157991,6.4,True,negative
bat,sw00617110000bevshsp_uf.evt.gz,128.6080833,-59.1685,-120.41013859325743,6.4,True,negative
bat,sw00617149000bevshsp_uf.evt.gz,356.9055,41.3518889,-2935.1645061581453,6.4,True,negative
bat,sw00618134000bevshsp_uf.evt.gz,135.603777938225,-40.3467837768642,137278.2186667404,6.4,True,positive
bat,sw00618634000bevshsp_uf.evt.gz,135.5254,-40.55585,-9274.583809583512,6.4,True,negative
bat,sw00618673000bevshsp_uf.evt.gz,233.023653384413,32.69382955479,19005.53175347503,6.4,True,positive
bat,sw00621278000bevshsp_uf.evt.gz,256.6412,23.97345,-12490.809185381178,6.4,True,negative
bat,sw00622476000bevshsp_uf.evt.gz,138.7780833,33.7917778,1335.945720372948,6.4,True,positive
bat,sw00623434000bevshsp_uf.evt.gz,256.6423,23.97121,23879.2548216852,6.4,True,positive
bat,sw00626581000bevshsp_uf.evt.gz,152.370111218417,-58.275395728891,71041.70322878733,6.4,True,positive
bat,sw00630019000bevshsp_uf.evt.gz,10.0734583,-63.1820833,14.493776279624907,6.4,True,positive
bat,sw00635794000bevshsp_uf.evt.gz,83.8554676556244,21.5399692891845,31487.436606577798,6.4,True,positive
bat,sw00635887000bevshsp_uf.evt.gz,128.179,45.4636944,504.57251278678183,6.4,True,positive
bat,sw00637212000bevshsp_uf.evt.gz,267.0201,-24.78019,-24196.35594493613,6.4,True,negative
bat,sw00637765000bevshsp_uf.evt.gz,272.1136,-36.97749,-173221.6591668108,6.4,True,negative
bat,sw00639275000bevshsp_uf.evt.gz,188.542964551214,6.98089967772161,135.04861979354322,6.4,True,positive
bat,sw00639636000bevshsp_uf.evt.gz,350.78766874796,7.8971282821733,-19.042899350938345,6.4,True,negative
bat,sw00641332000bevshsp_uf.evt.gz,353.475695770042,-35.9873500211324,-2545.8517474095283,6.4,True,negative
bat,sw00642296000bevshsp_uf.evt.gz,243.471760614953,-16.2925372502415,8628.801206408792,6.4,True,positive
bat,sw00643833000bevshsp_uf.evt.gz,107.564375,-22.4495833,-1479.0868265561496,6.4,True,negative
bat,sw00644259000bevshsp_uf.evt.gz,314.7166667,-53.3928889,34.41501435422698,6.4,True,positive
